wd,ws,freq_val
0.0000000000,0.0000000000,0.0000228154
0.0000000000,1.0000000000,0.0002224504
0.0000000000,2.0000000000,0.0003650468
0.0000000000,3.0000000000,0.0004848277
0.0000000000,4.0000000000,0.0008726899
0.0000000000,5.0000000000,0.0008669861
0.0000000000,6.0000000000,0.0009753593
0.0000000000,7.0000000000,0.0009810632
0.0000000000,8.0000000000,0.0009354324
0.0000000000,9.0000000000,0.0009753593
0.0000000000,10.0000000000,0.0007300935
0.0000000000,11.0000000000,0.0005817933
0.0000000000,12.0000000000,0.0005190509
0.0000000000,13.0000000000,0.0003935661
0.0000000000,14.0000000000,0.0003080082
0.0000000000,15.0000000000,0.0002509697
0.0000000000,16.0000000000,0.0001882272
0.0000000000,17.0000000000,0.0000741501
0.0000000000,18.0000000000,0.0000171116
0.0000000000,19.0000000000,0.0000228154
0.0000000000,20.0000000000,0.0000000000
0.0000000000,21.0000000000,0.0000057039
0.0000000000,22.0000000000,0.0000000000
0.0000000000,23.0000000000,0.0000000000
0.0000000000,24.0000000000,0.0000000000
0.0000000000,25.0000000000,0.0000000000
5.0000000000,0.0000000000,0.0000171116
5.0000000000,1.0000000000,0.0001996350
5.0000000000,2.0000000000,0.0004449008
5.0000000000,3.0000000000,0.0006445357
5.0000000000,4.0000000000,0.0007186858
5.0000000000,5.0000000000,0.0007871321
5.0000000000,6.0000000000,0.0008783938
5.0000000000,7.0000000000,0.0011407712
5.0000000000,8.0000000000,0.0011008442
5.0000000000,9.0000000000,0.0010209902
5.0000000000,10.0000000000,0.0007072781
5.0000000000,11.0000000000,0.0006331280
5.0000000000,12.0000000000,0.0004848277
5.0000000000,13.0000000000,0.0003593429
5.0000000000,14.0000000000,0.0003194159
5.0000000000,15.0000000000,0.0002053388
5.0000000000,16.0000000000,0.0001026694
5.0000000000,17.0000000000,0.0000627424
5.0000000000,18.0000000000,0.0000228154
5.0000000000,19.0000000000,0.0000000000
5.0000000000,20.0000000000,0.0000057039
5.0000000000,21.0000000000,0.0000000000
5.0000000000,22.0000000000,0.0000000000
5.0000000000,23.0000000000,0.0000000000
5.0000000000,24.0000000000,0.0000000000
5.0000000000,25.0000000000,0.0000000000
10.0000000000,0.0000000000,0.0000285193
10.0000000000,1.0000000000,0.0002167465
10.0000000000,2.0000000000,0.0003479352
10.0000000000,3.0000000000,0.0005361624
10.0000000000,4.0000000000,0.0006559434
10.0000000000,5.0000000000,0.0007985398
10.0000000000,6.0000000000,0.0008898015
10.0000000000,7.0000000000,0.0009867671
10.0000000000,8.0000000000,0.0011008442
10.0000000000,9.0000000000,0.0009753593
10.0000000000,10.0000000000,0.0007814282
10.0000000000,11.0000000000,0.0006217203
10.0000000000,12.0000000000,0.0005076432
10.0000000000,13.0000000000,0.0003707506
10.0000000000,14.0000000000,0.0002395619
10.0000000000,15.0000000000,0.0001197810
10.0000000000,16.0000000000,0.0000969655
10.0000000000,17.0000000000,0.0000228154
10.0000000000,18.0000000000,0.0000171116
10.0000000000,19.0000000000,0.0000000000
10.0000000000,20.0000000000,0.0000171116
10.0000000000,21.0000000000,0.0000000000
10.0000000000,22.0000000000,0.0000000000
10.0000000000,23.0000000000,0.0000000000
10.0000000000,24.0000000000,0.0000000000
10.0000000000,25.0000000000,0.0000000000
15.0000000000,0.0000000000,0.0000342231
15.0000000000,1.0000000000,0.0001996350
15.0000000000,2.0000000000,0.0004391969
15.0000000000,3.0000000000,0.0004391969
15.0000000000,4.0000000000,0.0006958704
15.0000000000,5.0000000000,0.0008384668
15.0000000000,6.0000000000,0.0009468401
15.0000000000,7.0000000000,0.0010209902
15.0000000000,8.0000000000,0.0010209902
15.0000000000,9.0000000000,0.0008898015
15.0000000000,10.0000000000,0.0007186858
15.0000000000,11.0000000000,0.0006274241
15.0000000000,12.0000000000,0.0004677162
15.0000000000,13.0000000000,0.0002966005
15.0000000000,14.0000000000,0.0001483003
15.0000000000,15.0000000000,0.0000684463
15.0000000000,16.0000000000,0.0000285193
15.0000000000,17.0000000000,0.0000342231
15.0000000000,18.0000000000,0.0000171116
15.0000000000,19.0000000000,0.0000399270
15.0000000000,20.0000000000,0.0000057039
15.0000000000,21.0000000000,0.0000114077
15.0000000000,22.0000000000,0.0000000000
15.0000000000,23.0000000000,0.0000000000
15.0000000000,24.0000000000,0.0000000000
15.0000000000,25.0000000000,0.0000000000
20.0000000000,0.0000000000,0.0000399270
20.0000000000,1.0000000000,0.0001597080
20.0000000000,2.0000000000,0.0003536391
20.0000000000,3.0000000000,0.0004848277
20.0000000000,4.0000000000,0.0006787588
20.0000000000,5.0000000000,0.0007415013
20.0000000000,6.0000000000,0.0011008442
20.0000000000,7.0000000000,0.0010209902
20.0000000000,8.0000000000,0.0011065480
20.0000000000,9.0000000000,0.0010837326
20.0000000000,10.0000000000,0.0007529090
20.0000000000,11.0000000000,0.0005532740
20.0000000000,12.0000000000,0.0004449008
20.0000000000,13.0000000000,0.0003308236
20.0000000000,14.0000000000,0.0001996350
20.0000000000,15.0000000000,0.0001254848
20.0000000000,16.0000000000,0.0000969655
20.0000000000,17.0000000000,0.0000513347
20.0000000000,18.0000000000,0.0000171116
20.0000000000,19.0000000000,0.0000000000
20.0000000000,20.0000000000,0.0000000000
20.0000000000,21.0000000000,0.0000000000
20.0000000000,22.0000000000,0.0000000000
20.0000000000,23.0000000000,0.0000000000
20.0000000000,24.0000000000,0.0000000000
20.0000000000,25.0000000000,0.0000000000
25.0000000000,0.0000000000,0.0000627424
25.0000000000,1.0000000000,0.0002053388
25.0000000000,2.0000000000,0.0003422313
25.0000000000,3.0000000000,0.0005304586
25.0000000000,4.0000000000,0.0007243897
25.0000000000,5.0000000000,0.0008384668
25.0000000000,6.0000000000,0.0008099475
25.0000000000,7.0000000000,0.0009981748
25.0000000000,8.0000000000,0.0011350673
25.0000000000,9.0000000000,0.0009810632
25.0000000000,10.0000000000,0.0008099475
25.0000000000,11.0000000000,0.0006559434
25.0000000000,12.0000000000,0.0004049738
25.0000000000,13.0000000000,0.0002966005
25.0000000000,14.0000000000,0.0002053388
25.0000000000,15.0000000000,0.0001197810
25.0000000000,16.0000000000,0.0000969655
25.0000000000,17.0000000000,0.0000513347
25.0000000000,18.0000000000,0.0000171116
25.0000000000,19.0000000000,0.0000114077
25.0000000000,20.0000000000,0.0000000000
25.0000000000,21.0000000000,0.0000000000
25.0000000000,22.0000000000,0.0000000000
25.0000000000,23.0000000000,0.0000000000
25.0000000000,24.0000000000,0.0000000000
25.0000000000,25.0000000000,0.0000000000
30.0000000000,0.0000000000,0.0000399270
30.0000000000,1.0000000000,0.0001825234
30.0000000000,2.0000000000,0.0003821583
30.0000000000,3.0000000000,0.0004734200
30.0000000000,4.0000000000,0.0005076432
30.0000000000,5.0000000000,0.0007757244
30.0000000000,6.0000000000,0.0009183208
30.0000000000,7.0000000000,0.0010381018
30.0000000000,8.0000000000,0.0009981748
30.0000000000,9.0000000000,0.0010495095
30.0000000000,10.0000000000,0.0008612822
30.0000000000,11.0000000000,0.0007015743
30.0000000000,12.0000000000,0.0005418663
30.0000000000,13.0000000000,0.0003479352
30.0000000000,14.0000000000,0.0002281542
30.0000000000,15.0000000000,0.0001140771
30.0000000000,16.0000000000,0.0000855578
30.0000000000,17.0000000000,0.0000285193
30.0000000000,18.0000000000,0.0000171116
30.0000000000,19.0000000000,0.0000000000
30.0000000000,20.0000000000,0.0000000000
30.0000000000,21.0000000000,0.0000000000
30.0000000000,22.0000000000,0.0000000000
30.0000000000,23.0000000000,0.0000000000
30.0000000000,24.0000000000,0.0000000000
30.0000000000,25.0000000000,0.0000000000
35.0000000000,0.0000000000,0.0000342231
35.0000000000,1.0000000000,0.0001711157
35.0000000000,2.0000000000,0.0003365275
35.0000000000,3.0000000000,0.0005418663
35.0000000000,4.0000000000,0.0005418663
35.0000000000,5.0000000000,0.0006844627
35.0000000000,6.0000000000,0.0009183208
35.0000000000,7.0000000000,0.0009639516
35.0000000000,8.0000000000,0.0009639516
35.0000000000,9.0000000000,0.0009297285
35.0000000000,10.0000000000,0.0008384668
35.0000000000,11.0000000000,0.0007415013
35.0000000000,12.0000000000,0.0006103126
35.0000000000,13.0000000000,0.0004391969
35.0000000000,14.0000000000,0.0002794889
35.0000000000,15.0000000000,0.0002281542
35.0000000000,16.0000000000,0.0000741501
35.0000000000,17.0000000000,0.0000399270
35.0000000000,18.0000000000,0.0000114077
35.0000000000,19.0000000000,0.0000000000
35.0000000000,20.0000000000,0.0000000000
35.0000000000,21.0000000000,0.0000000000
35.0000000000,22.0000000000,0.0000000000
35.0000000000,23.0000000000,0.0000000000
35.0000000000,24.0000000000,0.0000000000
35.0000000000,25.0000000000,0.0000000000
40.0000000000,0.0000000000,0.0000285193
40.0000000000,1.0000000000,0.0001825234
40.0000000000,2.0000000000,0.0003479352
40.0000000000,3.0000000000,0.0004791239
40.0000000000,4.0000000000,0.0003992699
40.0000000000,5.0000000000,0.0007472051
40.0000000000,6.0000000000,0.0008669861
40.0000000000,7.0000000000,0.0010381018
40.0000000000,8.0000000000,0.0010381018
40.0000000000,9.0000000000,0.0011407712
40.0000000000,10.0000000000,0.0009297285
40.0000000000,11.0000000000,0.0008955054
40.0000000000,12.0000000000,0.0008384668
40.0000000000,13.0000000000,0.0006103126
40.0000000000,14.0000000000,0.0003992699
40.0000000000,15.0000000000,0.0002623774
40.0000000000,16.0000000000,0.0001197810
40.0000000000,17.0000000000,0.0000456308
40.0000000000,18.0000000000,0.0000570386
40.0000000000,19.0000000000,0.0000171116
40.0000000000,20.0000000000,0.0000057039
40.0000000000,21.0000000000,0.0000000000
40.0000000000,22.0000000000,0.0000000000
40.0000000000,23.0000000000,0.0000000000
40.0000000000,24.0000000000,0.0000000000
40.0000000000,25.0000000000,0.0000000000
45.0000000000,0.0000000000,0.0000228154
